Idade ;Género;Estado Civil ;Nível de Escolaridade ;Qual o Concelho em que vive;Distrito de Residência;Região de Residência;Qual o Concelho de destino da maioria das deslocações quotidianas;Qual o modo de transporte que MAIS usa diariamente?;Utiliza outro modo de transporte diariamente? Indique quais;Qual a distância de sua casa até ao local de destino mais habitual (em km)?;Quanto tempo demora de casa ao local de destino mais habitual?;Costuma usar a bicicleta maioritariamente para ;Como Modo de Transporte utiliza a Bicicleta quantos dias por semana?;Gostaria de usar mais vezes a bicicleta na deslocação diária (como modo de transporte)?;Porque não usa a bicicleta como modo de transporte?;O que o/a faria usar (ou usar mais) a bicicleta como modo de transporte?;Quantos  pedala por semana, enquanto modo de transporte?;Qual o tipo de bicicleta que mais utiliza?;Em média quantos dias por semana pedala (considerando todos os modos);Quantos km pedala por semana, enquanto lazer?;Quanto km pedala por semana, enquanto deporto?
35-39 anos;Masculino;Solteiro/a;Licenciatura;Sintra;Lisboa;Área Metropolitana de Lisboa;Sintra;De Bicicleta;De Bicicleta;23;mais de 36 minutos;Como Modo de Transporte;6;Sim;;Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;250;Bicicleta de Estrada;6;50;100
50-54 anos;Masculino;Unido de Facto;Mestrado;Vila Franca de Xira;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé, De Bicicleta;23;mais de 36 minutos;Como Modo de Transporte;3;Não;;Mais nada, já vou de bicicleta., Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;100;Bicicleta de Cicloturismo;3;20;
55-59 anos;Masculino;Casado/a;Doutoramento;Funchal;Madeira;Região Autónoma da Madeira;Funchal;De Bicicleta;A pé;22,5;21 a 35 minutos;Como Modo de Transporte;5;Não;;Não é possível usar a bicicleta mais do que uso.;111,25;Bicicleta de Estrada;6;;80
55-59 anos;Feminino;Casado/a;Mestrado;Almada;Setúbal;Área Metropolitana de Lisboa;Almada;De Carro (Condutor);Mais nenhum;22;mais de 36 minutos;Para Lazer;;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;;
45-49 anos;Masculino;Solteiro/a;Ensino Secundário;Amares;Braga;Norte;Braga;De Carro (Condutor);A pé;22;21 a 35 minutos;Não uso;;;Moro longe;Nada, não gosto., Nada, considero que não é o modo de transporte adequado ao meu estatuto;;;;;
35-39 anos;Feminino;Casado/a;Ensino Secundário;Arouca;Aveiro;Norte;Oliveira de Azeméis;De Carro (Condutor);A pé;22;21 a 35 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;1;;5
30-34 anos;Masculino;Solteiro/a;Doutoramento;Aveiro;Aveiro;Centro;Aveiro;De Bicicleta;A pé;22;5 a 20 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte, Preparar-me melhor para a chuva;70;Bicicleta Urbana/Convencional;5;5;
55-59 anos;Masculino;Casado/a;Ensino Secundário;Barcelos;Braga;Norte;Esposende;De Carro (Condutor);Mais nenhum;22;21 a 35 minutos;Para Lazer;;Sim;;Ter um local onde tomar banho;0;Bicicleta de Estrada, Bicicleta de Montanha;1;40;
50-54 anos;Feminino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Vila Verde;De Carro (Condutor);A pé;22;21 a 35 minutos;Não uso;;;Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;;;;;
20-24 anos;Masculino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Transporte Público;A pé, De Trotinete;22;5 a 20 minutos;Para Lazer;;Sim;;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta Urbana/Convencional;1;;
35-39 anos;Masculino;Casado/a;Mestrado;Bragança;Bragança;Norte;Bragança;De Carro (Condutor);A pé;22;5 a 20 minutos;Não uso;;;Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano;Aprender a andar de bicicleta em meio urbano, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;;;;;
45-49 anos;Masculino;Casado/a;Ensino Secundário;Cartaxo;Santarém;Alentejo;Azambuja;De Carro (Condutor);De Mota (condutor);22;21 a 35 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino;5;Bicicleta de Estrada;3;60;150
40-44 anos;Masculino;Divorciado/a;Mestrado;Guimarães;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta;22;21 a 35 minutos;Para Desporto;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;32;Bicicleta Elétrica, Bicicleta de Estrada;3;;50
35-39 anos;Feminino;Casado/a;Mestrado;Loures;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Mota (Passageiro);De Bicicleta, De Carro (Condutor);22;mais de 36 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino;80;Bicicleta de Montanha;2;;
40-44 anos;Masculino;Casado/a;Ensino Secundário;Oliveira de Azeméis;Aveiro;Norte;Vale de Cambra;De Carro (Condutor);Mais nenhum;22;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos;Ter vantagens por ir de bicicleta para o destino, Não me posso deslocar de bicicleta, O meu trabalho não me permite usar a bicicleta;;;;;
45-49 anos;Masculino;Casado/a;Ensino Secundário;Setúbal;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);Mais nenhum;22;21 a 35 minutos;Para Lazer;;Não;;Nada, considero que não é o modo de transporte adequado ao meu estatuto;0;Bicicleta de Montanha;1;20;
65-69 anos;Masculino;Casado/a;Ensino Secundário;Sintra;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);A pé;22;mais de 36 minutos;Para Lazer;;Não;;Nada, considero que não é o modo de transporte adequado ao meu estatuto, Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;1;25;
50-54 anos;Masculino;Divorciado/a;Licenciatura;Sintra;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Mota (condutor);Mais nenhum;22;21 a 35 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta Elétrica;1;20;
30-34 anos;Masculino;Casado/a;Ensino Secundário;Vila Franca de Xira;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Bicicleta, De Transporte Público;22;21 a 35 minutos;Para Desporto;1;Sim;;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;55;Bicicleta de Estrada, Bicicleta de Montanha;2;50;55
35-39 anos;Masculino;Casado/a;Licenciatura;Vila Nova de Famalicão;Braga;Norte;Maia;De Carro (Condutor);A pé, De Bicicleta;22;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino;30;Bicicleta Elétrica, Bicicleta Urbana/Convencional;4;150;150
50-54 anos;Masculino;Casado/a;Licenciatura;Vila Nova de Gaia;Porto;Norte;Gondomar;De Carro (Condutor);De Trotinete;22;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino;0;Bicicleta Elétrica;1;80;80
55-59 anos;Masculino;Casado/a;Ensino Secundário;Vila Verde;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta;22;21 a 35 minutos;Para Lazer;1;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;5;Bicicleta de Montanha;1;35;
30-34 anos;Masculino;Unido de Facto;Formação Técnica;Lisboa;Lisboa;Área Metropolitana de Lisboa;Oeiras;De Bicicleta;A pé;21;mais de 36 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse, Conseguir articular o uso da bicicleta com outro modo de transporte;210;Outra;6;20;80
60-64 anos;Masculino;Casado/a;Mestrado;Lisboa;Lisboa;Área Metropolitana de Lisboa;Amadora;De Carro (Condutor);De Bicicleta;21;5 a 20 minutos;Para Lazer;2;Sim;;Garantir que os carros andem a uma velocidade reduzida;30;Bicicleta Urbana/Convencional;4;50;100
45-49 anos;Feminino;Unido de Facto;Doutoramento;Lisboa;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé;21;21 a 35 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Elétrica;2;20;
40-44 anos;Feminino;Casado/a;Mestrado;Loulé;Faro;Algarve;Faro;De Carro (Condutor);A pé;21;21 a 35 minutos;Para Desporto;;Sim;;Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada;3;;100
45-49 anos;Masculino;Casado/a;Licenciatura;Montijo;Setúbal;Área Metropolitana de Lisboa;Palmela;De Bicicleta;A pé, De Carro (Condutor);21;mais de 36 minutos;Como Modo de Transporte;5;Sim;;Mais nada, já vou de bicicleta;170;Bicicleta de Montanha;5;80;
25-29 anos;Feminino;Solteiro/a;Licenciatura;Seixal;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé, De Carro (Passageiro);21;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;0;Bicicleta Urbana/Convencional;2;4;4
45-49 anos;Masculino;Solteiro/a;Ensino Básico (2.º Ciclo);Sintra;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Mota (condutor);De Transporte Público;21;5 a 20 minutos;Para Desporto;;Não;;Só se passasse a morar mais perto do destino;0;Bicicleta de Estrada, Bicicleta de Montanha;2;10;100
25-29 anos;Masculino;Solteiro/a;Mestrado;Águeda;Aveiro;Centro;Aveiro;A pé;De Transporte Público;20;mais de 36 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;1;;
40-44 anos;Masculino;Casado/a;Licenciatura;Alcoutim;Faro;Algarve;Amares;De Carro (Condutor);De Mota (condutor);20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada, Bicicleta de Montanha;3;160;
35-39 anos;Feminino;Divorciado/a;Mestrado;Almada;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Transporte Público;A pé, De Bicicleta, De Carro (Condutor);20;mais de 36 minutos;Como Modo de Transporte;2;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;30;Bicicleta de Estrada;2;;
30-34 anos;Feminino;Unido de Facto;Mestrado;Almada;Setúbal;Área Metropolitana de Lisboa;Oeiras;De Mota (condutor);De Bicicleta;20;21 a 35 minutos;Como Modo de Transporte;5;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida;120;Bicicleta Elétrica;6;10;
30-34 anos;Feminino;Solteiro/a;Mestrado;Almada;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Mota (condutor);De Bicicleta;20;21 a 35 minutos;Como Modo de Transporte;4;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;120;Bicicleta Elétrica;5;10;
50-54 anos;Masculino;Solteiro/a;Ensino Secundário;Almada;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);A pé, De Bicicleta, De Carro (Condutor);20;21 a 35 minutos;Para Desporto;4;Sim;;atravessar o tejo;0;Bicicleta de Estrada;4;375;375
50-54 anos;Feminino;Casado/a;Ensino Secundário;Amadora;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Transporte Público;20;21 a 35 minutos;Não uso;;;Não sei andar de bicicleta, Não tenho bicicleta;Aprender a andar de bicicleta, Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino;;;;;
45-49 anos;Masculino;Casado/a;Licenciatura;Amadora;Lisboa;Área Metropolitana de Lisboa;Lisboa;De Carro (Condutor);De Bicicleta, De Transporte Público;20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Conseguir articular o uso da bicicleta com outro modo de transporte;30;Bicicleta de Estrada;1;30;30
55-59 anos;Masculino;Solteiro/a;Doutoramento;Amadora;Lisboa;Área Metropolitana de Lisboa;Loures;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;0;Bicicleta de Montanha;2;60;60
15-19 anos;Masculino;Casado/a;Ensino Básico (3.º Ciclo);Amares;Braga;Norte;Amares;De Transporte Público;De Transporte Público;20;21 a 35 minutos;Para Desporto;;Sim;;Mais nada, já vou de bicicleta.;100;Bicicleta de Montanha;7;500;700
50-54 anos;Masculino;Casado/a;Formação Técnica;Amares;Braga;Norte;Braga;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Desporto;;Não;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;2;;65
40-44 anos;Feminino;Solteiro/a;Licenciatura;Anadia;Aveiro;Centro;Águeda;De Carro (Condutor);Mais nenhum;20;mais de 36 minutos;Para Lazer;;Sim;;Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;1;15;20
50-54 anos;Masculino;Unido de Facto;Ensino Secundário;Arraiolos;Évora;Alentejo;Évora;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Desporto;;Sim;;ter balneario no local de trabalho;0;Bicicleta de Estrada;4;;150
35-39 anos;Feminino;Unido de Facto;Mestrado;Aveiro;Aveiro;Centro;Oliveira do Bairro;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;10;Bicicleta Urbana/Convencional;2;30;
40-44 anos;Masculino;Unido de Facto;Licenciatura;Aveiro;Aveiro;Centro;Vagos;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Lazer;;Sim;;Outros horários, condições no emprego (duche);0;Outra;1;10;
50-54 anos;Feminino;Casado/a;Mestrado;Aveiro;Aveiro;Centro;Estarreja;De Carro (Condutor);De Carro (Passageiro);20;21 a 35 minutos;Para Lazer;1;Sim;;Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta Urbana/Convencional;1;10;
30-34 anos;Feminino;Solteiro/a;Mestrado;Aveiro;Aveiro;Centro;Albergaria-a-Velha;De Carro (Condutor);A pé;20;5 a 20 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Não quero chegar suado;Ter uma bicicleta, Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino;;;;;
50-54 anos;Feminino;Casado/a;Mestrado;Aveiro;Aveiro;Centro;Ílhavo;De Carro (Passageiro);A pé, De Carro (Condutor);20;21 a 35 minutos;Para Lazer;1;Sim;;Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;5;Bicicleta Urbana/Convencional;2;5;
45-49 anos;Masculino;Casado/a;Licenciatura;Azambuja;Lisboa;Alentejo;Azambuja;De Carro (Condutor);De Bicicleta;20;21 a 35 minutos;Para Desporto;2;Sim;;Ter vantagens por ir de bicicleta para o destino;80;Bicicleta de Estrada;3;180;180
60-64 anos;Masculino;Casado/a;Ensino Secundário;Azambuja;Lisboa;Alentejo;Bombarral;De Carro (Condutor);A pé;20;5 a 20 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta Elétrica, Bicicleta de Cicloturismo, Bicicleta de Estrada, Bicicleta de Montanha;1;55;55
30-34 anos;Masculino;Solteiro/a;Mestrado;Barcelos;Braga;Norte;Braga;De Carro (Passageiro);A pé, De Carro (Condutor);20;21 a 35 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Estrada;1;;50
35-39 anos;Masculino;Unido de Facto;Ensino Secundário;Barcelos;Braga;Norte;Braga;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Desporto;;Sim;;Só se passasse a morar mais perto do destino;0;Outra;1;;50
40-44 anos;Feminino;Unido de Facto;Ensino Secundário;Barcelos;Braga;Norte;Vila Verde;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, É perigoso andar de bicicleta;Receber por cada km que pedalasse;;;;;
25-29 anos;Feminino;Solteiro/a;Mestrado;Barcelos;Braga;Norte;Póvoa de Varzim;De Carro (Condutor);A pé;20;5 a 20 minutos;Para Lazer;;Sim;;Só se passasse a morar mais perto do destino;0;Bicicleta Urbana/Convencional;1;;2
35-39 anos;Masculino;Divorciado/a;Ensino Secundário;Barcelos;Braga;Norte;Porto;De Carro (Condutor);De Mota (condutor);20;5 a 20 minutos;Para Desporto;;Não;;Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;1;;50
55-59 anos;Feminino;Casado/a;Licenciatura;Barcelos;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;20;mais de 36 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta, Não me sinto confortável usar a bicicleta no meio do trânsito, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, A minha condição física não me permite andar de bicicleta;Aprender a andar de bicicleta, Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;;;;;
60-64 anos;Masculino;Casado/a;Ensino Secundário;Barreiro;Setúbal;Área Metropolitana de Lisboa;Odivelas;De Bicicleta;De Transporte Público;20;mais de 36 minutos;Como Modo de Transporte;6;Sim;;Mais nada, já vou de bicicleta.;200;Bicicleta de Montanha;6;40;
45-49 anos;Masculino;Casado/a;Licenciatura;Barreiro;Setúbal;Área Metropolitana de Lisboa;Lisboa;De Bicicleta;A pé;20;mais de 36 minutos;Como Modo de Transporte;5;Sim;;Mais nada, já vou de bicicleta., Ter ciclovias seguras de casa até ao meu destino, Ter estacionamento seguro para bicicletas no destino;80;Bicicleta Urbana/Convencional;7;10;80
55-59 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Guimarães;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Não uso;;;Moro longe;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;;;;;
40-44 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;20;21 a 35 minutos;Não uso;;;Não quero chegar suado, Não consigo transportar o(s) meu(s) filho(s) na bicicleta, Tenho de levar o(s) meu(s) filho(s) à escola;Nada, não gosto;;;;;
25-29 anos;Masculino;Solteiro/a;Formação Técnica;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé, De Bicicleta, De Carro (Passageiro);20;mais de 36 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;0;Bicicleta Elétrica, Bicicleta de Cicloturismo, Bicicleta de Montanha;4;100;50
15-19 anos;Masculino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Guimarães;De Transporte Público;De Carro (Condutor);20;21 a 35 minutos;Para Lazer;1;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino;30;Bicicleta de Montanha;2;20;
50-54 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Barcelos;De Carro (Condutor);De Mota (condutor);20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;0;Bicicleta de Montanha;3;;100
30-34 anos;Masculino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Amares;De Carro (Passageiro);De Mota (condutor);20;5 a 20 minutos;Para Desporto;;Sim;;Nada, considero que não é o modo de transporte adequado ao meu estatuto;0;Bicicleta de Montanha;1;;
35-39 anos;Feminino;Solteiro/a;Mestrado;Braga;Braga;Norte;Barcelos;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Desporto;;Sim;;O clima ;0;Bicicleta de Montanha;1;20;30
55-59 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Barcelos;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não há uma rede segura de ciclovias para as minhas deslocações, Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
30-34 anos;Feminino;Casado/a;Ensino Secundário;Braga;Braga;Norte;Vila Verde;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Lazer;;Não;;Nada, considero que não é o modo de transporte adequado ao meu estatuto, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Montanha;1;;30
50-54 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Desporto;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Ter estacionamento seguro para bicicletas no destino;0;Bicicleta de Montanha;1;35;
20-24 anos;Feminino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;20;5 a 20 minutos;Para Lazer;;Não;;Nada, não gosto;0;Bicicleta de Montanha;2;;
45-49 anos;Feminino;Divorciado/a;Licenciatura;Braga;Braga;Norte;Vila Nova de Famalicão;De Carro (Condutor);A pé;20;21 a 35 minutos;Para Lazer;;Sim;;Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, O meu trabalho não me permite usar a bicicleta;0;Bicicleta Urbana/Convencional;1;10;
35-39 anos;Feminino;Unido de Facto;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);A pé;20;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Não tenho bicicleta;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Só se passasse a morar mais perto do destino, Conseguir articular o uso da bicicleta com outro modo de transporte;;;;;
30-34 anos;Feminino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;20;5 a 20 minutos;Para Lazer;;Sim;;O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada;1;3;
15-19 anos;Feminino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Braga;De Transporte Público;De Carro (Passageiro);20;21 a 35 minutos;Para Lazer;;Não;;Nada, considero que não é o modo de transporte adequado ao meu estatuto, Ter uma bicicleta;0;Bicicleta Urbana/Convencional;1;2;
15-19 anos;Masculino;Solteiro/a;Ensino Secundário;Braga;Braga;Norte;Vila Verde;De Transporte Público;De Transporte Público;20;5 a 20 minutos;Não uso;;;Não sei andar de bicicleta;Nada, não gosto.;;;;;
40-44 anos;Masculino;Casado/a;Licenciatura;Braga;Braga;Norte;Vila Nova de Famalicão;De Carro (Condutor);A pé;20;21 a 35 minutos;Não uso;;;Tenho medo de andar de bicicleta no meio urbano;Só se passasse a morar mais longe do destino;;;;;
45-49 anos;Feminino;Unido de Facto;Licenciatura;Braga;Braga;Norte;Vila Verde;De Carro (Condutor);A pé;20;21 a 35 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito, Tenho medo de andar de bicicleta no meio urbano, Moro longe, Não quero chegar molhado, Não quero chegar suado, É perigoso andar de bicicleta, Não tenho onde estacionar a bicicleta no local de trabalho, Não tenho onde estacionar a bicicleta no local de destino (espaço público);Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino, Ter estacionamento seguro para bicicletas no destino, Ter vantagens por ir de bicicleta para o destino, Receber por cada km que pedalasse;;;;;
15-19 anos;Masculino;Solteiro/a;Ensino Básico (3.º Ciclo);Braga;Braga;Norte;Vila Verde;De Transporte Público;De Carro (Passageiro);20;21 a 35 minutos;Não uso;;;Não me sinto confortável usar a bicicleta no meio do trânsito;Nada, não gosto.;;;;;
35-39 anos;Feminino;Solteiro/a;Licenciatura;Braga;Braga;Norte;Guimarães;De Carro (Condutor);A pé, De Bicicleta;20;21 a 35 minutos;Para Desporto;3;Sim;;Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, O meu trabalho não me permite usar a bicicleta;0;Bicicleta de Estrada, Bicicleta de Montanha;3;;100
45-49 anos;Masculino;Unido de Facto;Ensino Secundário;Braga;Braga;Norte;Braga;De Carro (Condutor);Mais nenhum;20;21 a 35 minutos;Para Desporto;;Não;;Receber por cada km que pedalasse;0;Bicicleta de Estrada;3;;100
40-44 anos;Feminino;Casado/a;Licenciatura;Braga;Braga;Norte;Póvoa de Lanhoso;De Carro (Condutor);A pé;20;21 a 35 minutos;Não uso;;;Já não ando de bicicleta há muitos anos, Preocupa-me que quem anda de carro não me respeite na bicicleta, Tenho medo de andar de bicicleta no meio urbano, Moro longe, Não quero chegar molhado, Há muitas subidas no meu percurso, A minha condição física não me permite andar de bicicleta, Tenho de levar o(s) meu(s) filho(s) à escola;Aprender a andar de bicicleta em meio urbano, Ter ciclovias seguras de casa até ao meu destino, Garantir que os carros andem a uma velocidade reduzida, Só se passasse a morar mais perto do destino;;;;;
